bodNr;klasseNr;
1;12;
2;14;
3;14;
4;14;
5;14;
6;14;
7;14;
8;14;
9;22;
10;8;
11;14;
12;14;
13;9;
14;9;
15;9;
16;9;
17;9;
18;9;
19;9;
20;9;
21;9;
22;9;
23;9;
24;3;
25;9;
26;9;
27;9;
28;9;
29;9;
30;9;
31;9;
32;9;
33;9;
34;9;
35;10;
36;14;
37;14;
38;14;
39;14;
40;14;
41;14;
42;14;
43;14;
44;14;
45;14;
46;18;
47;18;
48;14;
49;14;
50;14;
51;14;
52;14;
53;14;
54;14;
55;14;
56;14;
57;14;
58;14;
59;14;
60;10;
61;9;
62;9;
63;9;
64;9;
65;9;
66;9;
67;9;
68;9;
69;9;
70;9;
71;9;
72;9;
73;9;
74;9;
75;9;
76;9;
77;9;
78;9;
79;9;
80;9;
81;14;
82;14;
83;14;
84;14;
85;14;
86;14;
87;19;
88;19;
89;19;
90;19;
91;18;
92;18;
93;19;
94;19;
95;19;
96;19;
97;14;
98;14;
99;14;
100;14;
101;14;
102;14;
103;9;
104;9;
105;9;
106;9;
107;9;
108;9;
109;9;
110;9;
111;9;
112;9;
113;3;
114;3;
115;3;
116;3;
117;3;
118;3;
119;3;
120;3;
121;9;
122;3;
123;3;
124;3;
125;3;
126;7;
127;5;
128;3;
129;3;
130;3;
201;9;
202;11;
203;17;
204;17;
205;17;
206;17;
207;17;
208;17;
209;17;
210;17;
211;17;
212;17;
213;17;
214;17;
215;17;
216;17;
217;20;
218;14;
219;14;
220;14;
221;14;
222;14;
223;14;
224;14;
225;14;
226;14;
227;14;
228;9;
229;9;
230;9;
231;9;
232;9;
233;9;
234;9;
235;9;
236;9;
237;9;
238;9;
239;9;
240;9;
241;9;
242;9;
243;9;
244;14;
245;14;
246;14;
247;14;
248;14;
249;14;
250;19;
251;19;
252;19;
253;17;
254;17;
255;14;
256;14;
257;14;
258;14;
259;14;
260;14;
261;14;
262;14;
263;9;
264;9;
265;9;
266;9;
267;9;
268;9;
269;9;
270;9;
271;3;
272;3;
273;3;
274;3;
275;3;
276;3;
277;9;
278;3;
279;3;
280;2;
281;6;
282;3;
283;3;
284;3;
285;3;
286;3;
287;6;
288;13;
289;9;
290;9;
291;9;
292;9;
293;9;
294;9;
295;9;
296;9;
297;9;
298;9;
299;9;
300;9;
301;9;
302;9;
303;9;
304;9;
305;22;
306;14;
307;14;
308;14;
309;14;
310;10;
311;10;
312;6;
313;1;
314;1;
315;4;
316;4;
317;4;
318;4;
319;19;
320;21;
400;3;
401;3;
402;3;
403;3;
404;3;
405;3;
406;3;
407;3;
408;3;
409;3;
410;3;
411;3;
412;3;
413;3;
414;3;
415;3;
416;3;
417;7;
418;7;
419;14;
420;7;
421;7;
422;7;
423;3;
424;3;
425;3;
426;7;
427;7;
428;7;
429;3;
430;3;
431;7;
432;7;
433;7;
434;3;
435;3;
436;3;
437;3;
438;3;
439;3;
440;3;
441;3;
442;3;
443;3;
444;3;
445;3;
446;3;
447;3;
448;3;
449;3;
450;7;
451;7;
452;7;
453;7;
454;7;
455;7;
456;7;
457;7;
458;3;
459;3;
460;3;
461;7;
462;7;
463;7;
464;7;
465;7;
466;7;
467;7;
468;7;
469;9;
470;9;
471;9;
472;9;
473;9;
474;9;
475;9;
478;3;
479;3;
480;3;
481;3;
482;3;
483;3;
484;3;
485;3;
486;3;
487;9;
488;3;
489;3;
490;3;
491;3;
492;3;
493;3;
494;3;
495;3;
496;3;
497;3;
498;3;
499;3;
500;3;
501;3;
502;3;
503;9;
504;3;
505;3;
506;3;
507;3;
508;3;
509;3;
510;3;
511;9;
512;3;
513;3;
514;3;
515;16;
516;15;
517;16;
518;16;
519;16;
520;16;
521;16;
522;15;
523;15;
524;15;
525;15;
526;15;
565;7;
567;3;
569;3;
600;3;
601;3;
602;3;
603;3;
604;3;
605;3;
606;3;
607;3;
608;3;
609;3;
610;3;
611;3;
612;3;
613;3;
