klasseNr;navn;prisgruppe;bodNr
10015;;HALVÅR;86 - 90/93
10129;;MND;230 - 413
10303;;ÅR;222
10420;;HALVÅR;210
10452;;MND;120
10472;;MND;29 - 128
10525;;ÅR;62
10548;;MND;65
10575;;MND;46
10589;;ÅR;213
10630;;MND;97 - 270
10726;;MND;55
10739;;MND;240
10740;;MND;201 - 202
11144;;MND;278
11184;;MND;317
11200;;MND;125 - 129
11209;;ÅR;234
11273;;ÅR;121
11298;;MND;289 - 291
11383;;MND;232
11396;;MND;57
11443;;MND;126 - 281
11481;;HALVÅR;115
11486;;ÅR;216
11503;;MND;80-88/95
11507;;MND;242
11523;;HALVÅR;37 - 109
11545;;HALVÅR;15
11565;;MND;280
11585;;KVARTAL;71
11596;;MND;43
11597;;MND;313
11598;;HALVÅR;259
11645;;ÅR;69
11693;;MND;218
11701;;ÅR;314
11733;;MND;514
11768;;MND;279
11775;;MND;4
11777;;MND;78
11789;;MND;14
11835;;MND;77
11841;;HALVÅR;67
11854;;ÅR;468
11877;;MND;416
11887;;HALVÅR;98
11919;;ÅR;49
11924;;MND;39 - 45
11930;;MND;99
11935;;HALVÅR;61 - 110
11940;;HALVÅR;294
11942;;HALVÅR;74
11948;;MND;21
11963;;MND;117 - 501
11968;;MND;478
11983;;MND;508
11989;;ÅR;475
12017;;MND;261
12028;;HALVÅR;487
12030;;MND;258
12032;;MND;273
12057;;HALVÅR;483
12058;;MND;488
12071;;MND;238
12073;;HALVÅR;298
12084;;ÅR;405
12096;;MND;59
12101;;MND;262
12104;;MND;480
12142;;MND;20 - 44
12145;;ÅR;272
12165;;MND;207
12177;;MND;497
12178;;MND;2
12183;;ÅR;415
12219;;MND;35
12256;;MND;91 - 92
12266;;MND;441
12287;;MND;311
12312;;MND;257
12328;;MND;412 - 409
12329;;MND;462
12343;;MND;27
12346;;ÅR;310
12355;;MND;446
12356;;ÅR;260
12396;;MND;318
12416;;MND;491
12437;;MND;506
12444;;MND;28
12451;;MND;41
12453;;MND;461
12457;;ÅR;70
12465;;MND;82
12492;;MND;245
12495;;MND;25
12510;;MND;292
12547;;MND;463
12555;;ÅR;113
12557;;MND;427 - 81
12558;;MND;116
12578;;MND;123
12596;;ÅR;418
12597;;MND;490
12599;;MND;239
12601;;MND;53
12603;;MND;108
12605;;MND;3
12609;;ÅR;499
12620;;MND;246
12629;;MND;227
12651;;MND;122
12652;;MND;209
12653;;MND;440
